PMID,Year,Author,Institution,City,Region,State,Latitude,Longitude
83386070,2019,Sri Haryani,University of Brawijaya,,Jawa Timur,Indonesia,-7.952465,112.613677
52124814,2019,Stavrianakis,Indiana University Bloomington,Bloomington,Indiana,United States,39.1682449,-86.52300729999999
52124814,2019,Farmer,Indiana University Bloomington,Bloomington,Indiana,United States,39.1682449,-86.52300729999999
5717188,2019,Claudia Trillo,University of Salford,Salford,England,United Kingdom,53.48723260000001,-2.2737375
73261221,2019,David Teh,RMIT University,Melbourne,Victoria,Australia,-37.8083331,144.9639386
73261221,2019,Tehmina Khan,RMIT University,Melbourne,Victoria,Australia,-37.8083331,144.9639386
67964336,2019,Pablo A. Egaña del Sol,Massachusetts Institute of Technology,Cambridge,Massachusetts,United States,42.360091,-71.09416
30858771,2019,H Najwat,Diponegoro University,,Jawa Tengah,Indonesia,-7.051962499999999,110.4408916
30858771,2019,Lexi Z. Hikmah,Diponegoro University,,Jawa Tengah,Indonesia,-7.051962499999999,110.4408916
55210559,2019,Luciene Pimentel da Silva,Pontifícia Universidade Católica do Paraná,,Paraná,Brazil,-25.4515693,-49.25274719999999
55210559,2019,Fábio Teodoro de Souza,Pontifícia Universidade Católica do Paraná,,Paraná,Brazil,-25.4515693,-49.25274719999999
97356035,2019,Hafizah Rosli,Universiti Sains Malaysia,Gelugor,Pulau Pinang,Malaysia,5.3555943,100.3025455
97356035,2019,Narimah Samat,Universiti Sains Malaysia,Gelugor,Pulau Pinang,Malaysia,5.3555943,100.3025455
97356035,2019,Radieah Mohd Nor,Universiti Sains Malaysia,Gelugor,Pulau Pinang,Malaysia,5.3555943,100.3025455
62304125,2019,Satya Budi Nugraha,State University of Semarang,,Central Java,Indonesia,-7.0506356,110.3924228
62304125,2019,Husna Fauzia,Public Works,,,,,
45930453,2019,Kate Zinszer,Université de Montréal,Montreal,Quebec,Canada,45.5018869,-73.56739189999999
45930453,2019,Andréa Caprara,Universidade Estadual do Ceará,,Ceará,Brazil,-3.7882864,-38.5533951
45930453,2019,A.M.N. Lima,Prefeitura Municipal de Tauá,Tauá,Ceará,Brazil,-6.0032698,-40.2946389
45930453,2019,Stéphanie Degroote,Université de Montréal,Montreal,Quebec,Canada,45.5018869,-73.56739189999999
45930453,2019,Monica Zahreddine,Université de Montréal,Montreal,Quebec,Canada,45.5018869,-73.56739189999999
45930453,2019,Kellyanne Abreu,Universidade Estadual do Ceará,,Ceará,Brazil,-3.7882864,-38.5533951
45930453,2019,Mabel Carabalí,McGill University,Montréal,Québec,Canada,45.50601839999999,-73.5783235
45930453,2019,Katia Charland,Université de Montréal,Montreal,Quebec,Canada,45.5018869,-73.56739189999999
45930453,2019,Mayana Azevedo Dantas,Universidade Estadual do Ceará,,Ceará,Brazil,-3.7882864,-38.5533951
45930453,2019,José Wellington,Universidade Estadual do Ceará,,Ceará,Brazil,-3.7882864,-38.5533951
45930453,2019,Beatriz Parra,Universidad del Valle,,,,,
45930453,2019,Florence Fournet,Institut de Recherche pour le Développement,,,,,
45930453,2019,Emmanuel Bonnet,Institut de Recherche pour le Développement,,,,,
45930453,2019,Denis Pérez,Université de Montréal,Montreal,Quebec,Canada,45.5018869,-73.56739189999999
45930453,2019,Émilie Robert,"University of California, San Diego",San Diego,California,United States,32.881168,-117.2343605
45930453,2019,Christian Dagenais,"University of California, San Diego",San Diego,California,United States,32.881168,-117.2343605
45930453,2019,Tarik Benmarhnia,"University of California, San Diego",San Diego,California,United States,32.881168,-117.2343605
45930453,2019,Neil Andersson,McGill University,Montréal,Québec,Canada,45.50601839999999,-73.5783235
45930453,2019,Valéry Ridde,Institut de Recherche pour le Développement,,,,,
29909841,2019,Kate Zinszer,Université de Montréal,Montreal,Quebec,Canada,45.5018869,-73.56739189999999
29909841,2019,Andréa Caprara,Universidade Estadual do Ceará,,Ceará,Brazil,-3.7882864,-38.5533951
29909841,2019,A.M.N. Lima,Prefeitura Municipal de Tauá,Tauá,Ceará,Brazil,-6.0032698,-40.2946389
29909841,2019,Stéphanie Degroote,Institut de Recherche pour le Développement,,,,,
29909841,2019,Monica Zahreddine,Université de Montréal,Montreal,Quebec,Canada,45.5018869,-73.56739189999999
29909841,2019,Kellyanne Abreu,Universidade Estadual do Ceará,,Ceará,Brazil,-3.7882864,-38.5533951
29909841,2019,Mabel Carabalí,McGill University,Montréal,Québec,Canada,45.50601839999999,-73.5783235
29909841,2019,Katia Charland,Université de Montréal,Montreal,Quebec,Canada,45.5018869,-73.56739189999999
29909841,2019,Mayana Azevedo Dantas,Universidade Estadual do Ceará,,Ceará,Brazil,-3.7882864,-38.5533951
29909841,2019,José Wellington,Universidade Estadual do Ceará,,Ceará,Brazil,-3.7882864,-38.5533951
29909841,2019,Beatriz Parra,Universidad del Valle,,,,,
29909841,2019,Florence Fournet,Institut de Recherche pour le Développement,,,,,
29909841,2019,Emmanuel Bonnet,Institut de Recherche pour le Développement,,,,,
29909841,2019,Denis Pérez,Université de Montréal,Montreal,Quebec,Canada,45.5018869,-73.56739189999999
29909841,2019,Émilie Robert,Université de Montréal,Montreal,Quebec,Canada,45.5018869,-73.56739189999999
29909841,2019,Christian Dagenais,"University of California, San Diego",San Diego,California,United States,32.881168,-117.2343605
29909841,2019,Tarik Benmarhnia,McGill University,Montréal,Québec,Canada,45.50601839999999,-73.5783235
29909841,2019,Neil Andersson,Institut de Recherche pour le Développement,,,,,
87059266,2019,Seher KALENDER ÇETİNKAYA,Fatih Sultan Mehmet Waqf University,,,,,
5401346,2019,Tania Malrechauffe Came,,,,,,
42680615,2019,Ghada Farouk Hassan,,,,,,
29583345,2019,Kate Zinszer,Université de Montréal,Montreal,Quebec,Canada,45.5018869,-73.56739189999999
29583345,2019,Andréa Caprara,Universidade Estadual do Ceará,,Ceará,Brazil,-3.7882864,-38.5533951
29583345,2019,A.M.N. Lima,Prefeitura Municipal de Tauá,Tauá,Ceará,Brazil,-6.0032698,-40.2946389
29583345,2019,Stéphanie Degroote,Université de Montréal,Montreal,Quebec,Canada,45.5018869,-73.56739189999999
29583345,2019,Monica Zahreddine,Université de Montréal,Montreal,Quebec,Canada,45.5018869,-73.56739189999999
29583345,2019,Kellyanne Abreu,Universidade Estadual do Ceará,,Ceará,Brazil,-3.7882864,-38.5533951
29583345,2019,Mabel Carabalí,McGill University,Montréal,Québec,Canada,45.50601839999999,-73.5783235
29583345,2019,Katia Charland,Université de Montréal,Montreal,Quebec,Canada,45.5018869,-73.56739189999999
29583345,2019,Mayana Azevedo Dantas,Universidade Estadual do Ceará,,Ceará,Brazil,-3.7882864,-38.5533951
29583345,2019,José Wellington,Universidade Estadual do Ceará,,Ceará,Brazil,-3.7882864,-38.5533951
29583345,2019,Beatriz Parra,Universidad del Valle,,,,,
29583345,2019,Florence Fournet,Institut de Recherche pour le Développement,,,,,
29583345,2019,Emmanuel Bonnet,Institut de Recherche pour le Développement,,,,,
29583345,2019,Denis Pérez,Université de Montréal,Montreal,Quebec,Canada,45.5018869,-73.56739189999999
29583345,2019,Émilie Robert,"University of California, San Diego",San Diego,California,United States,32.881168,-117.2343605
29583345,2019,Christian Dagenais,"University of California, San Diego",San Diego,California,United States,32.881168,-117.2343605
29583345,2019,Tarik Benmarhnia,"University of California, San Diego",San Diego,California,United States,32.881168,-117.2343605
29583345,2019,Neil Andersson,McGill University,Montréal,Québec,Canada,45.50601839999999,-73.5783235
29583345,2019,Valéry Ridde,Institut de Recherche pour le Développement,,,,,
12418345,2020,Veronika Zavratnik,University of Ljubljana,Ljubljana,Ljubljana,Slovenia,46.0491938,14.5041552
12418345,2020,Dan Podjed,University of Ljubljana,Ljubljana,Ljubljana,Slovenia,46.0491938,14.5041552
12418345,2020,Jure Trilar,Slovenian Academy of Sciences and Arts,Ljubljana,Ljubljana,Slovenia,46.0476456,14.5044815
12418345,2020,Nina Hlebec,Research Centre of the Slovenian Academy of Sciences and Arts,Ljubljana,Ljubljana,Slovenia,46.0476456,14.5044815
12418345,2020,Andrej Kos,University of Ljubljana,Ljubljana,Ljubljana,Slovenia,46.0491938,14.5041552
12418345,2020,Emilija Stojmenova Duh,University of Ljubljana,Ljubljana,Ljubljana,Slovenia,46.0491938,14.5041552
80019726,2020,Batara Surya,Universitas Bosowa,Makassar,South Sulawesi,Indonesia,-5.1387363,119.4435505
80019726,2020,Hadijah Hadijah,Universitas Bosowa,Makassar,South Sulawesi,Indonesia,-5.1387363,119.4435505
80019726,2020,Seri Suriani,Universitas Bosowa,Makassar,South Sulawesi,Indonesia,-5.1387363,119.4435505
80019726,2020,Baharuddin Baharuddin,Universitas Bosowa,Makassar,South Sulawesi,Indonesia,-5.1387363,119.4435505
80019726,2020,Andi Tenri Fitriyah,Universitas Bosowa,Makassar,South Sulawesi,Indonesia,-5.1387363,119.4435505
80019726,2020,Firman Menne,Universitas Bosowa,Makassar,South Sulawesi,Indonesia,-5.1387363,119.4435505
80019726,2020,Emil Salim Rasyidi,Universitas Bosowa,Makassar,South Sulawesi,Indonesia,-5.1387363,119.4435505
58881433,2020,Adriane MacDonald,University of Lethbridge,Lethbridge,Alberta,Canada,49.6956181,-112.8451067
